user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,label,cleaned_text,sentiment,topic,misinformation_label
Vijayanand Chidambaram,"Chennai, India",COVID Data Analyst. Follow me for Authentic & Verified updates on #COVID. Senior Engineering Manager at @SoftwareAG. IoT & ML/Artificial Intelligence Innovator.,2010-02-21 09:15:13,478,89,567,False,2020-08-17,"Some fact on current TN Active cases distribution and growth rate of #Covid. 

Coimbatore, Salem are contributing i… https://t.co/xfXKnWv14r",['Covid'],Twitter Web App,False,true information,fact current tn active cases distribution growth rate coimbatore salem contributing,POSITIVE,1,true information
Zee News English,India,"https://t.co/L9XS391Ajy brings latest news with 360 degree coverage across all the genres including politics, sports, entertainment, etc | For hindi visit @zeenews",2008-12-12 06:01:55,5213500,51,2,True,2020-07-26,"#COVID19 recovery rate in India is better than others, says PM Modi on Maan Ki Baat

#MaanKibaat 

Follow live upda… https://t.co/5eCKdoAWz0","['COVID19', 'MaanKibaat']",Twitter Web App,False,true information,recovery rate india better others says pm modi maan ki baat follow live upda,NEGATIVE,46,true information
Manish Sharma,"Singapore, USA, India ","#Founder, #CEO #Bookworm, #fintech,#5G, #IOT, Wannabe FilmMaker, #NarendraModi #LeeKuanYew #Dhoni Fan. EQ+Passion GT IQ",2009-04-27 04:41:17,3010,396,4317,True,2020-08-16,"HCQ + Azithromycin ...game changer in fight against #COVID19 

@vijai63 @drharshvardhan https://t.co/DX2ssN3Rjo",['COVID19'],Twitter for iPad,False,true information,hcq azithromycin game changer fight,NEGATIVE,52,true information
NCCPR,"Alexandria, Virginia, USA","The National Coalition for Child Protection Reform works to change America's approach to #childabuse, #childwelfare, #fostercare and #familypreservation",2009-06-14 01:56:38,2324,177,82,False,2020-07-31,"@elizashapiro @NYTMetro [2/7] No, @elizashapiro what should ""terrify everyone"" is the underlying racism, the failur… https://t.co/h5P7Rsd3P0",,TweetDeck,False,unverified claim,2 7 terrify everyone underlying racism failur,NEGATIVE,72,unverified claim
Zoppy McZop,"Victoria, Australia","‘64 Model Collingwood Supporter, Only sees things in Black and White. Raised with a collar that apparently is blue. Young people please join a Union. 🇦🇺 🇲🇹",2012-05-04 00:47:47,135,417,6561,False,2020-08-09,@RitaPanahi @sophieelsworth @SkyNewsAust @David_Speers The  Murdoch journalists doing all the whining about lockdow… https://t.co/gCgJCieLCr,,Twitter for iPhone,False,unverified claim,murdoch journalists whining lockdow,NEGATIVE,18,unverified claim
Parkdale Community Legal Services,"Toronto, Ontario","PCLS is a Toronto community legal clinic and Ontario's premier teaching clinic. Trendsetting community lawyers and organizers since 1971. 

Tweets≠legal advice.",2011-02-09 17:33:48,3198,1031,906,False,2020-07-31,"Getting the word out about how #Bill184 is dangerous for tenants!

If you missed rent payments during #covid19 and… https://t.co/8NPhZt4IVw","['Bill184', 'covid19']",TweetDeck,False,unverified claim,getting word dangerous tenants missed rent payments,NEGATIVE,59,unverified claim
Armenian News-NEWSam,Armenia,"Follow Armenia! Armenian News - NEWS.am offers latest news on political, military, economic issues, sports, and culture. Watch our exclusive videos and photos!",2011-02-19 13:55:10,4144,300,66,False,2020-08-18,#Russian energy minister tests positive for #COVID19 https://t.co/cXuTDCLoYg,"['Russian', 'COVID19']",Twitter Web App,False,true information,energy minister tests positive,POSITIVE,12,true information
Ommcom News,"Bhubaneshwar, India","Capturing Odisha Online. Breaking News Alert From Odisha, India & World..",2016-05-24 11:40:42,3327,415,853,False,2020-07-25,"Even as India races to develop a cure for the #Covid19 virus, and despite all safety protocols in place for the las… https://t.co/hGy7uhYFxO",['Covid19'],Twitter Web App,False,true information,even india races develop cure virus despite safety protocols place las,NEGATIVE,15,true information
Thomas in Texas Wears a Mask,"Garland, TX",Gay Texan in the Loon Star State. My random tweets from the #Dallas Texas region,2009-07-12 23:50:21,7224,4615,60543,False,2020-08-01,"Just have a nasty sprain, hopefully better in a week or two, thanks everyone for the positive vibes, so thankful I… https://t.co/mb1V7w8tOC",,Twitter for iPhone,False,unverified claim,nasty sprain hopefully better week two thanks everyone positive vibes thankful,POSITIVE,37,unverified claim
LM Little,,"Community developer, researcher, facilitator, democracy defender, tai chi practitioner living with a beautiful land North of 60. NO LISTS PLEASE.",2011-10-11 19:38:38,720,178,8716,False,2020-08-08,@picardonhealth @cmusician @cbcmarkkelley @TheCurrentCBC Concern now is whether provincial/territorial leaders will… https://t.co/YhrylXxCbk,,Twitter Web App,False,unverified claim,concern whether provincial territorial leaders,NEGATIVE,18,unverified claim
