user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,label,cleaned_text,sentiment,topic,misinformation_label
Vijayanand Chidambaram,"Chennai, India",COVID Data Analyst. Follow me for Authentic & Verified updates on #COVID. Senior Engineering Manager at @SoftwareAG. IoT & ML/Artificial Intelligence Innovator.,2010-02-21 09:15:13,478,89,567,False,2020-08-17,"Some fact on current TN Active cases distribution and growth rate of #Covid. 

Coimbatore, Salem are contributing i… https://t.co/xfXKnWv14r",['Covid'],Twitter Web App,False,true information,fact current tn active cases distribution growth rate coimbatore salem contributing,POSITIVE,0,true information
Zee News English,India,"https://t.co/L9XS391Ajy brings latest news with 360 degree coverage across all the genres including politics, sports, entertainment, etc | For hindi visit @zeenews",2008-12-12 06:01:55,5213500,51,2,True,2020-07-26,"#COVID19 recovery rate in India is better than others, says PM Modi on Maan Ki Baat

#MaanKibaat 

Follow live upda… https://t.co/5eCKdoAWz0","['COVID19', 'MaanKibaat']",Twitter Web App,False,true information,recovery rate india better others says pm modi maan ki baat follow live upda,NEGATIVE,1,true information
Robert Sitler,"New York, USA",Yo! Whats good! I’m a future Air Force Pilot (hopefully) who doesn’t really post much! Follow if you’d like!,2018-08-22 00:55:11,13,22,54,False,2020-08-22,WE ARE LIVE!!!! Come Down and Hang Out In Chat!!! Lets Get A Dub!!! #CallofDuty #Warzone #YouTube #COVID19… https://t.co/K0aqDLsc4D,"['CallofDuty', 'Warzone', 'YouTube', 'COVID19']",Twitter for iPhone,False,unverified claim,live come hang chat lets get dub,NEGATIVE,1,unverified claim
Manish Sharma,"Singapore, USA, India ","#Founder, #CEO #Bookworm, #fintech,#5G, #IOT, Wannabe FilmMaker, #NarendraModi #LeeKuanYew #Dhoni Fan. EQ+Passion GT IQ",2009-04-27 04:41:17,3010,396,4317,True,2020-08-16,"HCQ + Azithromycin ...game changer in fight against #COVID19 

@vijai63 @drharshvardhan https://t.co/DX2ssN3Rjo",['COVID19'],Twitter for iPad,False,true information,hcq azithromycin game changer fight,NEGATIVE,0,true information
NCCPR,"Alexandria, Virginia, USA","The National Coalition for Child Protection Reform works to change America's approach to #childabuse, #childwelfare, #fostercare and #familypreservation",2009-06-14 01:56:38,2324,177,82,False,2020-07-31,"@elizashapiro @NYTMetro [2/7] No, @elizashapiro what should ""terrify everyone"" is the underlying racism, the failur… https://t.co/h5P7Rsd3P0",,TweetDeck,False,unverified claim,2 7 terrify everyone underlying racism failur,NEGATIVE,0,unverified claim
Zoppy McZop,"Victoria, Australia","‘64 Model Collingwood Supporter, Only sees things in Black and White. Raised with a collar that apparently is blue. Young people please join a Union. 🇦🇺 🇲🇹",2012-05-04 00:47:47,135,417,6561,False,2020-08-09,@RitaPanahi @sophieelsworth @SkyNewsAust @David_Speers The  Murdoch journalists doing all the whining about lockdow… https://t.co/gCgJCieLCr,,Twitter for iPhone,False,unverified claim,murdoch journalists whining lockdow,NEGATIVE,1,unverified claim
Theveganspecialists,United States,"Indulge in to the encyclopedia of Vegan information, recipes, tips&tricks and many more..",2020-05-09 22:34:09,178,295,8,False,2020-08-09,"Fibre: Are you getting enough?

https://t.co/flSdWiLX9i

#vegan #fitness #covid19 #goals https://t.co/XDnljPGovu","['vegan', 'fitness', 'covid19', 'goals']",Integromat,False,true information,fibre getting enough,POSITIVE,1,true information
Armenian News-NEWSam,Armenia,"Follow Armenia! Armenian News - NEWS.am offers latest news on political, military, economic issues, sports, and culture. Watch our exclusive videos and photos!",2011-02-19 13:55:10,4144,300,66,False,2020-08-18,#Russian energy minister tests positive for #COVID19 https://t.co/cXuTDCLoYg,"['Russian', 'COVID19']",Twitter Web App,False,true information,energy minister tests positive,POSITIVE,1,true information
Ommcom News,"Bhubaneshwar, India","Capturing Odisha Online. Breaking News Alert From Odisha, India & World..",2016-05-24 11:40:42,3327,415,853,False,2020-07-25,"Even as India races to develop a cure for the #Covid19 virus, and despite all safety protocols in place for the las… https://t.co/hGy7uhYFxO",['Covid19'],Twitter Web App,False,true information,even india races develop cure virus despite safety protocols place las,NEGATIVE,0,true information
Donald Blair,"Toronto, Ontario","President and CEO,
Pivotworks Corporation (@pivotworkscorp) / Furdad to Princesses Roxanne of The Quays, and Denise II of Lakeshore
#blacklivesmatter",2018-12-05 18:54:49,33,28,285,False,2020-08-02,Very happy to help lead this charge. Canadian #SmallBiz keeps our economy alive. Thank you for all your advocacy an… https://t.co/j5CadedF4U,['SmallBiz'],Twitter Web App,False,true information,happy help lead charge canadian keeps economy alive thank advocacy,POSITIVE,1,true information
