user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,cleaned_text,sentiment,topic,misinformation_label
KYT,"Thane, India","From the house of Thanevaibhav, Thane district's largest Marathi daily , KYT is an English guide to anything and everything about Thane district.",2016-11-02 16:45:08,239,14,168,False,2020-07-25,"July 24: #Thane city #COVID19 update
New cases: 285, Discharged: 503 , Dead 4

Active cases: 6027 (35.16%)
Recovere… https://t.co/TicLUlg8lD","['Thane', 'COVID19']",Twitter Web App,False,july 24 city update new cases 285 discharged 503 dead 4 active 6027 35 16 recovere,NEGATIVE,2,true information
Dr. Wolfgang H Thome,Germany,"Publisher of ATCNews, Africa's largest publication of its kind and otherwise flying through life inverted.",2010-04-20 06:38:31,11759,812,45496,False,2020-07-27,"#COVID19
Global overnight developments from 26th to 27th of July 2020
6 pm EAT: 16.285.278 Infections/Deaths 649.84… https://t.co/Kcx1fsIUyU",['COVID19'],Twitter Web App,False,global overnight developments 26th 27th july 2020 6 pm eat 16 285 278 infections deaths 649 84,POSITIVE,0,true information
Belinda Hayes,Melbourne,Communicating the amazing stories from @monashuni.,2009-08-27 07:28:18,478,720,217,False,2020-08-04,"Theatre can respond to the gendered impacts of #COVID19, and the growing violence women experience, by acting as a… https://t.co/SWKdqQCDcS",['COVID19'],Hootsuite Inc.,False,theatre respond gendered impacts growing violence women experience acting,NEGATIVE,1,unverified claim
MOHAMMED I. JEGA,Naija,"Co-founder, Domineum.iolChief Business Development Executive,VoguePay|Director, Founder Institute|Founder,Startup Arewa|Director mAcademy|Aiesec Alumni",2009-10-29 20:57:26,2210,1212,1811,False,2020-08-01,"How Hospitals are Using AI to Fight COVID-19.

What do you think, about this innovation?

#techsaturdays… https://t.co/pxpFQIYtnl",['techsaturdays'],Instagram,False,hospitals using ai fight covid 19 think innovation,NEGATIVE,0,true information
Propertymark,,"Are you Propertymark Protected? Our agents offer higher standards of protection, whether you are renting, buying, selling or letting a property #lookforthelogo",2016-07-22 14:53:31,1173,696,1153,False,2020-08-11,"We've updated our dedicated #coronavirus page that tackles lots of questions about your property, including info on… https://t.co/4RyDASrRs6",['coronavirus'],Hootsuite Inc.,False,updated dedicated page tackles lots questions property including info,POSITIVE,0,true information
Manish A. Shah,Between here and there...,"Father, husband, oncologist @MeyerCancer, researcher. Things we do matter! Chief Solid Tumor Service @WeillCornell @NYPhospital @ASCO FASCO CPGC #GICancers",2014-03-15 01:31:58,1761,502,5665,False,2020-08-10,"Get Well Gilberto!  To better times! 

#COVID19 https://t.co/HLxOuXincn",['COVID19'],Twitter Web App,False,get well gilberto better times,POSITIVE,1,true information
WorldStage,"Lagos, Nigeria",https://t.co/Qsywjub3Cc https://t.co/MORN7vdk5V,2011-09-12 15:57:05,20913,22957,39,False,2020-08-01,"WorldStage Newsonline-- Gov. David Umahi of Ebonyi State, his daughter and three of his aides have recovered from C… https://t.co/yT30zzJjI0",,Blog2Social APP,False,worldstage newsonline gov david umahi ebonyi state daughter three aides recovered c,NEGATIVE,2,unverified claim
ZEE5 News,,"Stay up to date with the latest news from India & around the world, LIVE on ZEE5 News",2019-10-09 10:28:25,34127,50,3,True,2020-08-30,"@narendramodi This is a time for festivals but at the same time, there is also a sense of discipline among people d… https://t.co/xxr7O6EvhJ",,TweetDeck,False,time festivals also sense discipline among people,POSITIVE,1,true information
ApocalypseNowPodcast,"New York, NY ",A #podcast that explores the possibility that we may be living during the end times. Hosted by @JoPincushion,2019-11-21 22:11:47,344,322,965,False,2020-08-30,"Electricity is getting shut off during a pandemic. 
https://t.co/ZtRc4n5oBq
#coronavirus #covid19 https://t.co/6elY1HnS2m","['coronavirus', 'covid19']",Hootsuite Inc.,False,electricity getting shut pandemic,NEGATIVE,0,unverified claim
Patrick Bordnick,"New Orleans, LA",Dean and Professor @TulaneSSW | Virtual Reality | Technology | Behavioral Change Specialist | Health and Behavioral Health | Addiction | Mental Health,2014-08-12 00:22:06,591,454,3058,False,2020-07-25,"Raise awareness to support the behavioral health needs of frontline responders: Doctors nurses, social workers, and… https://t.co/JEhyZ6MTac",,Twitter for Android,False,raise awareness support behavioral health needs frontline responders doctors nurses social workers,POSITIVE,0,unverified claim
Gulf Daily News,Bahrain,Leading English Daily Newspaper published from Kingdom of Bahrain,2010-02-25 09:22:18,23969,103,8,True,2020-08-17,"The United States surpassed 170,000 coronavirus deaths on Sunday, according to a Reuters tally, as health officials… https://t.co/46kOgoNlyU",,TweetDeck,False,united states surpassed 170 000 coronavirus deaths sunday according reuters tally health officials,NEGATIVE,0,true information
Alameda County Public Health Department,Oakland,"The official Twitter account for the Alameda County Public Health Department. For COVID-19 info/resources, visit https://t.co/jsg6oPcj7N.",2013-06-21 16:12:59,4391,556,535,False,2020-08-01,"If a contact tracer calls you and says you were exposed to #COVID19, they will tell you to quarantine at home for 1… https://t.co/YpB6h72zMc",['COVID19'],Hootsuite Inc.,False,contact tracer calls says exposed tell quarantine home 1,NEGATIVE,0,true information
L Amazan,,"....Out of the abundance of the heart, the mouth speaks... ~Luke 6:45

An LICSW currently in Business school

$LunAmazan",2013-03-06 15:38:30,213,290,26485,False,2020-08-16,"Still relevant today!
#COVID19 
#USPS #PoliceBrutality
#PresidentTrump 
#protests #Testing #Recession #Depression… https://t.co/s5yN0RjOSg","['COVID19', 'USPS', 'PoliceBrutality', 'PresidentTrump', 'protests', 'Testing', 'Recession', 'Depression']",Twitter for Android,False,still relevant today,POSITIVE,1,true information
Todd Gaebe,,,2016-08-05 00:41:02,29,182,122,False,2020-08-22,Still bored lol. #corona #coronavirus #covid #covid19 #covıd19 #virus #quarantine #quarantinelife… https://t.co/Cfgn2AWaAu,"['corona', 'coronavirus', 'covid', 'covid19', 'covıd19', 'virus', 'quarantine', 'quarantinelife']",Instagram,False,still bored lol,NEGATIVE,1,unverified claim
Hindustan Times,India,One of India's largest media companies. Latest news from around the world. Retweets are not endorsements,2009-04-29 10:11:34,7730287,125,2950,True,2020-08-30,"Chhattisgarh: Highest single-day spike in #COVID19 cases, 208 deaths in the last 29 days

(reports @riteshmishraht)… https://t.co/1hvDYzY0nI",['COVID19'],Twitter Web App,False,chhattisgarh highest single day spike cases 208 deaths last 29 days reports,NEGATIVE,2,true information
INDIA NARRATIVE,Delhi,News | Views | Insight,2020-03-21 15:39:41,312,54,39,False,2020-08-11,Bhutan's Prime Minister Lotay Tshering said that the lockdown has been enforced to identify and isolate all positiv… https://t.co/HSzhWoK1Qs,,TweetDeck,False,bhutan prime minister lotay tshering said lockdown enforced identify isolate positiv,NEGATIVE,2,true information
"Love,Uttkarsh",India,I know only one thing. That there must be Thunder Clouds.🌩,2019-03-23 18:43:28,13,47,860,False,2020-08-22,"#INDIAunitedtoPostponeJEE_NEET 
Today was the highest rise in COVID-19 cases. 69,878 tested positive 
 And instead… https://t.co/wnDrAF6W6b",['INDIAunitedtoPostponeJEE_NEET'],Twitter for iPhone,False,today highest rise covid 19 cases 69 878 tested positive instead,NEGATIVE,0,unverified claim
Fergus McPop,USA,"Love any kind of classic pop, rock, beer or pizzas. https://t.co/HaJAWMUzA5",2014-06-10 21:28:09,1029,980,81,False,2020-07-25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/bfel6gyXIq",,TweetCaster for Android,False,coronavirus testing fiasco st mirren pledged undertake urgent review covid 19 proced,NEGATIVE,0,unverified claim
Wanderer,,Skeptically curious,2015-04-04 19:56:09,120,996,12325,False,2020-08-30,"Kamala Harris - “There is no vaccine for racism. However COVID-19 is racist”

""While this virus touches us all, we… https://t.co/qISUAin2qH",,Twitter for Android,False,kamala harris vaccine racism however covid 19 racist virus touches us,POSITIVE,0,unverified claim
dean girling,,,2018-04-26 20:14:07,80,231,2657,False,2020-08-01,Selling match footage in non-league may be a way of pacifying fans and earning an income 🤔 @graysathleticfc… https://t.co/smA1Updcvr,,Twitter for iPhone,False,selling match footage non league may way pacifying fans earning income,NEGATIVE,1,true information
@projectsrh,"Sydney, New South Wales","Projects RH is proudly based in Sydney embracing the best of Asia and the west. We are specialists in project investment, finance and management.",2018-10-31 08:13:17,328,4906,1459,False,2020-08-17,"As #COVID19 devastates #Brazil, US and India the lock-down in Victoria seems a small price to pay. #paulraftery… https://t.co/O8ErtGjOhU","['COVID19', 'Brazil', 'paulraftery']",Buffer,False,devastates us india lock victoria seems small price pay,NEGATIVE,0,true information
Stacy Butler,"Tucson, AZ","Director, Innovation for Justice, Univ. of Ariz. Law.  Tweets are my own.",2017-09-27 16:16:49,636,337,1106,False,2020-07-25,Talking to ⁦@WBUR⁩ about the 17-28 million renter households at risk of #eviction during #COVID19.… https://t.co/VozL99cJ7g,"['eviction', 'COVID19']",Twitter for iPhone,False,talking 17 28 million renter households risk,NEGATIVE,0,unverified claim
Sheikh Jahangir,Jammu And Kashmir ,Writter | Content creator | Speaker | Media | Social Works | Management | Tweets and views are purely personal!,2017-01-23 11:39:03,1277,380,3296,False,2020-08-17,"On his birthday,the cop @AskSheikhAadil deserve every respect by making decent efforts during fear season of… https://t.co/YYpRxNQhu2",,Twitter for Android,False,birthday cop deserve every respect making decent efforts fear season,NEGATIVE,1,true information
MP Biomedicals,"Irvine, CA","A worldwide corporation that manufactures and distributes over 8,000 products for the life science, fine chemicals and diagnostics markets.",2013-04-29 23:26:18,183,312,224,False,2020-08-12,"NEW COVID-19 ELISA Kits for the quantitative detection of IgG, IgM and nucleoprotein. https://t.co/n9bKjARuC1… https://t.co/tLtE5IhngH",,Twitter Web App,False,new covid 19 elisa kits quantitative detection igg igm nucleoprotein,NEGATIVE,0,true information
"Sam Bayat, Esq.",Dubai (U.A.E.),"Corporate migration, Int'l residence & citizenship specialist, solving problems & creating solutions.",2010-06-09 03:32:45,27943,441,1384,False,2020-07-28,"It is unclear until now what the pandemic is leading to

https://t.co/oM5gYZkGnl

#COVID19 #Pandemic #Economics","['COVID19', 'Pandemic', 'Economics']",Twitter Web App,False,unclear pandemic leading,NEGATIVE,0,unverified claim
Joe Waiganjo,,Web Developer and Designer,2018-08-11 19:53:05,166,819,3705,False,2020-08-02,#EmailMarketing #BBNaijaLockdown   #COVID19  #website #SmallBusiness #StartUp #Entreprise #Entrepreneur #Mompreneur… https://t.co/5s98tjA7YX,"['EmailMarketing', 'BBNaijaLockdown', 'COVID19', 'website', 'SmallBusiness', 'StartUp', 'Entreprise', 'Entrepreneur', 'Mompreneur']",Twitter Web App,False,,POSITIVE,1,LABEL_UNKNOWN
Postcards From The Edge,"90.0000° N, 135.0000° W","Having been pushed to the edge by society, this mild mannered man chose an outlet for his pain. That outlet was sending postcards from the edge.",2020-08-15 15:05:39,5,50,2,False,2020-08-22,"Simple question: Are you better off today than you were 4 years ago?
#poll #trump #biden #Election2020 #COVID19 #coronavirus #polls","['poll', 'trump', 'biden', 'Election2020', 'COVID19', 'coronavirus', 'polls']",Twitter for Android,False,simple question better today 4 years ago,NEGATIVE,1,true information
Malcolm Cesar,Atlanta,Creator of The Super Affiliate Bizleads Automation Summit,2019-10-25 23:55:32,138,269,61,False,2020-07-27,PART 1: It’s been a crazy year so far with all of this COVID-19 stuff and there are plenty of challenges for everyo… https://t.co/pWandzBK0m,,Twitter Web App,False,part 1 crazy year far covid 19 stuff plenty challenges everyo,POSITIVE,0,unverified claim
The Pioneer,,Twitter account of India's leading independent right-thinking newspaper.,2012-01-21 16:23:26,22663,109,91,True,2020-07-25,"#CoronaVirusPaksitan: #Pakistan reported 1,487 new #COVID19 cases in the last 24 hours, taking the nationwide tally… https://t.co/azfBp39JlM","['CoronaVirusPaksitan', 'Pakistan', 'COVID19']",Twitter Web App,False,reported 1 487 new cases last 24 hours taking nationwide tally,NEGATIVE,2,true information
Bakehouse Cottage aka Helen #FBPE,"England, United Kingdom",Helen Holdsworth. Political Theorist.  Views my own. Keep going my friends - though I'm not quite sure where we're going right now!,2016-02-23 21:56:27,9168,4861,61662,False,2020-08-06,"Another govt #COVID19 scandal...

Some 10,000 contact tracers employed by outsourcing giant Serco have only spoken… https://t.co/vfTCCzVrcR",['COVID19'],Twitter Web App,False,another govt scandal 10 000 contact tracers employed outsourcing giant serco spoken,NEGATIVE,0,unverified claim
BPM,,,2009-04-30 02:34:17,437,777,12251,False,2020-07-28,"Clyde Edwards-Helaire Saw the Effects of COVID-19 Firsthand — 'For Me, it Hits Home' ⁦@SEC⁩ ⁦@NCAA⁩ All on you!… https://t.co/5cBxO0euYC",,Twitter for iPhone,False,clyde edwards helaire saw effects covid 19 firsthand hits home,POSITIVE,0,true information
Mazi Omaiye Ghost®️ 🇳🇬🇨🇦,UNICRON 🌍 ,"In Pursuit of 
Perfection 
Peace and 
Happiness (Money 💰)
Into #Bitcoin and #Ethereum 
FUCK RELIGION",2011-01-08 02:48:52,1259,1452,1969,False,2020-08-29,"Still wondering how many years it took @BillGates and Co to plan out the #COVID19 FAKE Pandemic Virus 
How many yea… https://t.co/zXTvhOLKBq",['COVID19'],Twitter for Android,False,still wondering many years took co plan fake pandemic virus yea,NEGATIVE,0,unverified claim
SharePresentation,Worldwide,"SharePresentation is a web platform that lets users upload and share presentations (PPT, PPSX, PPTX, PDF) and documents. #presentation #SharePresentation",2016-11-22 12:06:13,525,1100,31,False,2020-08-11,Brazil has the second-highest number of confirmed COVID-19 cases in the world. See the following presentation to kn… https://t.co/5SPn4dRDbM,,Twitter Web App,False,brazil second highest number confirmed covid 19 cases world see following presentation kn,POSITIVE,0,true information
Thaba Lodge Black Rhino Reserve,BlackRhino Reserve Pilanesberg,Private Self-catering luxury 10 sleeper safari lodge with professionally guided game drives included in the Black Rhino Pilanesberg Big 5 game reserve,2018-09-14 14:10:55,217,580,6716,False,2020-08-13,"We are ready to share our beautiful lodge with you😊 

Contact info@thabalodge.co.za 
 
#Level2 #COVID19… https://t.co/FdoOr3azWl","['Level2', 'COVID19']",Twitter for iPhone,False,ready share beautiful lodge contact info co za,POSITIVE,0,unverified claim
